numero_alimento,descricao,categoria,energia_kcal,proteina_g,lipideos_g,carboidrato_g,fibra_g,base,preparo,qualificadores
578,"Lentilha, crua",Leguminosas e derivados,339.14,23.15,0.77,62,16.94,Lentilha,cru,
579,"Paçoca, amendoim",Leguminosas e derivados,486.93,16,26.08,52.38,7.32,Paçoca,,amendoim
580,"Pé-de-moleque, amendoim",Leguminosas e derivados,503.19,13.16,28.05,54.73,3.39,Pé-de-moleque,,amendoim
581,"Soja, farinha",Leguminosas e derivados,403.96,36.03,14.63,38.44,20.18,Soja,,farinha
582,"Soja, extrato solúvel, natural, fluido",Leguminosas e derivados,39.1,2.38,1.61,4.28,0.37,Soja,,"extrato solúvel, natural, fluido"
583,"Soja, extrato solúvel, pó",Leguminosas e derivados,458.9,35.69,26.18,28.48,7.31,Soja,,"extrato solúvel, pó"
584,"Soja, queijo (tofu)",Leguminosas e derivados,64.49,6.55,3.95,2.13,0.75,Soja,,queijo (tofu)
585,"Tremoço, cru",Leguminosas e derivados,381.28,33.58,10.34,43.79,32.31,Tremoço,cru,
586,"Tremoço, em conserva",Leguminosas e derivados,120.64,11.11,3.78,12.39,14.44,Tremoço,,em conserva
587,"Amêndoa, torrada, salgada",Nozes e sementes,580.75,18.55,47.32,29.55,11.64,Amêndoa,torrado,salgada
588,"Castanha-de-caju, torrada, salgada",Nozes e sementes,570.17,18.51,46.28,29.13,3.66,Castanha-de-caju,torrado,salgada
589,"Castanha-do-Brasil, crua",Nozes e sementes,642.96,14.54,63.46,15.08,7.93,Castanha-do-Brasil,cru,
590,"Coco, cru",Nozes e sementes,406.49,3.69,41.98,10.4,5.38,Coco,cru,
591,"Coco,  verde, cru",Nozes e sementes,,,,,,Coco,cru,verde
592,"Farinha, de mesocarpo de babaçu, crua",Nozes e sementes,328.77,1.41,0.2,79.17,17.86,Farinha,cru,de mesocarpo de babaçu
593,"Gergelim, semente",Nozes e sementes,583.55,21.16,50.43,21.62,11.87,Gergelim,,semente
594,"Linhaça, semente",Nozes e sementes,495.1,14.08,32.25,43.31,33.5,Linhaça,,semente
595,"Pinhão, cozido",Nozes e sementes,174.37,2.98,0.75,43.92,15.6,Pinhão,cozido,
596,"Pupunha, cozida",Nozes e sementes,218.53,2.52,12.76,29.57,4.25,Pupunha,cozido,
597,"Noz, crua",Nozes e sementes,620.06,13.97,59.36,18.36,7.25,Noz,cru,
